module_number,module_name,description
1720510,Design in Studio Structure: Material,
1720511,Design in Studio Structure: Material,
1720512,Design in Studio Structure: Material,
1720751,Basics of Structural Design (Lecture),
1720752,Basics of Structural Design (Exercise),
1720802,Integrative Digital Methods,
1741352,History of Architecture and Urban Planning 1,
1710109,Seminar Week: Archival Bastards,
1710206,Seminar Week: Borderline(s) Investigation(s) #03 LIGHT (Bru),
1710304,Seminar Week: La Terrazza Romana,
1710360,Seminarweek: Cohabitation – Architecture for Interspecies Living,
1710412,Seminar week: Housing Futures in Play,
1710455,Seminar week: Concrete Communication: Berlin,
1720509,Seminar Week: FROM RAW MATERIAL TO COMPONENT,
1720556,Seminar Week: wertschau,
1720608,Seminarweek: Back to Earth: a journey to pioneering clay buildings in,
1720610,Seminarweek Piemont Material – practical laboratory (Müller),
1720706,Seminar week on BIM-based quantity calculation (von Both),
1720651,Seminar Week: Re: Build Domino Zirkular (IBA27),
1720810,Seminar week: Re:Build Domino Zirkular (IBA27),
1720761,Seminar Week: Digital Skins / Digital Skins,
1720983,Seminar Week: Reuse Relearn Recharge – Design Built,
1731094,Seminarweek: Hidden Karlsruhe,
1731199,Seminar Week: Spaces. Places. Traces. (RE)Discovering Karlsruhe Oststadt,
1731219,Seminar Week: The Gardens of Uzbekistan,
1731299,Seminarweek: Alto Adriatico,
1800025,Seminar Week: Graffiti in Karlsruhe,
1741383,Excursion: Seminar Week: Ornamental Baroque: Documenting the Work of,
1700033,Seminar Week: Block-Based Approaches to Architecture – Digital Study,
1731201,Design in Studio Context: Urban Quarter Development: Windmühlenberg,
1731067,Design in Studio Context: Windmühlenberg Karlsruhe (Neppl),
1731152,Design in Studio Context: Windmill Hill Karlsruhe (Engel),
1731151,Basics of Urban Planning: Reading and Designing the City. (Engel),
1731203,Basics of Urban Planning: Interfaces of Urban and Landscape Architectural,
1731154,Law for Architects,
1731156,Construction Planning Law,
1710450,Introduction to the Communication of Architecture,
1710451,Scientific Methods for Architecture,
1741355,History of Architecture and Urban Planning 3,
1741356,Medina Warmburg,
1710102,Bachelor's Thesis: Blue Banana 071 (Frohn),
1710301,Bachelor's Thesis: Vertical Athletic Club (Hartmann),
1710201,Bachelor's Thesis: Borderline(s) Investigations #03 Framing Life (Bru),
1720507,Bachelorthesis: TABULA SCRIPTA - Transformation of the State Statistical,
1710361,Selected Topics of Drawing: Nude Drawing,
1710362,Selected Topics of Fine Art: Line and Time,
1710364,Selected Topics of Fine Art: #Tea Ceremony Solar: Performative Ceramics,
1710382,Selected Topics of Fine Art: The Magic Circle - The Art of Playing,
1710405,Selected Topics of Architectural Theory: Architekturethnografische,
1720705,Methodical and technical planning aids: Basics of the BIM method (von Both),
1720991,we Heat a Success?,
1731096,Selected Topics of Urban Design: Visibility Studies in the Historic Ensemble of,
1731158,Selected Topics of Urban Design: Mapping Hambach,
